te paso una muestra de los datos, para que completes la resolucion del problema
fhv_tripdata_2024-01.csv
dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number
B00053,2024-01-01 00:15:00,2024-01-01 02:13:00,,,,B00014
B00111,2024-01-01 00:30:00,2024-01-01 02:37:00,,,,B00111
B00112,2024-01-01 00:27:24,2024-01-01 01:12:05,,14.0,,B00112
B00112,2024-01-01 00:10:09,2024-01-01 00:25:39,,133.0,,B00112
B00112,2024-01-01 00:57:07,2024-01-01 01:05:04,,14.0,,B00112
B00112,2024-01-01 00:50:18,2024-01-01 01:29:31,,91.0,,B00112
B00112,2024-01-01 00:11:16,2024-01-01 00:11:21,,14.0,,B00112
B00112,2024-01-01 00:38:29,2024-01-01 00:47:47,,14.0,,B00112
B00112,2024-01-01 00:51:36,2024-01-01 00:58:14,,14.0,,B00112
B00112,2024-01-01 00:36:54,2024-01-01 00:37:10,,67.0,,B00112

fhv_tripdata_2023-10.csv
dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number
B00008,2023-10-01 00:00:00,2023-10-01 00:13:00,,,,B00008
B00008,2023-10-01 00:10:00,2023-10-01 00:37:00,,,,B00008
B00008,2023-10-01 00:39:00,2023-10-01 01:13:00,,,,B00008
B00008,2023-10-01 00:00:00,2023-10-01 00:34:00,,,,B00008
B00008,2023-10-01 00:20:00,2023-10-01 01:01:00,,,,B00008
B00009,2023-10-01 00:00:00,2023-10-01 00:13:00,,,,B00009
B00009,2023-10-01 00:10:00,2023-10-01 00:30:00,,,,B00009
B00009,2023-10-01 00:15:00,2023-10-01 00:30:00,,,,B00009
B00014,2023-10-01 00:00:38,2023-10-01 02:10:00,,,,B00888

fhv_tripdata_2023-11.csv
dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number
B00008,2023-11-01 00:15:00,2023-11-01 00:31:00,,,,B00008
B00008,2023-11-01 00:30:00,2023-11-01 00:45:00,,,,B00008
B00008,2023-11-01 00:20:00,2023-11-01 00:42:00,,,,B00008
B00008,2023-11-01 00:30:00,2023-11-01 01:22:00,,,,B00008
B00009,2023-11-01 00:15:00,2023-11-01 00:38:00,,,,B00009
B00009,2023-11-01 00:20:00,2023-11-01 00:40:00,,,,B00009
B00009,2023-11-01 00:40:00,2023-11-01 01:06:00,,,,B00009
B00014,2023-11-01 00:47:36,2023-11-01 01:42:00,,,,B00014
B00111,2023-11-01 00:30:00,2023-11-01 01:27:00,,,,B00111

fhv_tripdata_2023-12.csv
dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number
B00009,2023-12-01 00:15:00,2023-12-01 00:57:00,,,,B00009
B00009,2023-12-01 00:20:00,2023-12-01 00:59:00,,,,B00009
B00013,2023-12-01 00:27:25,2023-12-01 00:46:00,,,,B00053
B00013,2023-12-01 00:00:00,2023-12-01 00:32:00,,,,B00381
B00013,2023-12-01 00:45:53,2023-12-01 01:33:00,,,,B00013
B00014,2023-12-01 00:00:00,2023-12-01 00:13:00,,,,B00608
B00014,2023-12-01 00:00:00,2023-12-01 00:22:00,,,,B00013
B00111,2023-12-01 00:00:25,2023-12-01 01:41:00,,,,B00013
B00112,2023-12-01 00:14:27,2023-12-01 00:17:49,,14.0,,B00112
